percent pertubation_type Round CV AUC AUPR
0 feature Round--0 CV--1 0.83713 0.57751
0 feature Round--0 CV--2 0.84002 0.57803
0 feature Round--0 CV--3 0.91647 0.79058
0 feature Round--0 CV--4 0.90148 0.78515
0 feature Round--0 CV--5 0.87153 0.72775
0 feature Round--1 CV--1 0.82996 0.56678
0 feature Round--1 CV--2 0.83841 0.57501
0 feature Round--1 CV--3 0.89533 0.75532
0 feature Round--1 CV--4 0.88194 0.73822
0 feature Round--1 CV--5 0.89508 0.76209
0 feature Round--2 CV--1 0.84436 0.58446
0 feature Round--2 CV--2 0.89684 0.75823
0 feature Round--2 CV--3 0.84722 0.58292
0 feature Round--2 CV--4 0.89612 0.77142
0 feature Round--2 CV--5 0.85013 0.59486
0 feature Round--3 CV--1 0.84410 0.58770
0 feature Round--3 CV--2 0.88376 0.73227
0 feature Round--3 CV--3 0.90376 0.77946
0 feature Round--3 CV--4 0.89309 0.76060
0 feature Round--3 CV--5 0.87839 0.71799
0 feature Round--4 CV--1 0.89747 0.78075
0 feature Round--4 CV--2 0.89850 0.77430
0 feature Round--4 CV--3 0.81482 0.56024
0 feature Round--4 CV--4 0.82130 0.43921
0 feature Round--4 CV--5 0.88544 0.73602
0 feature Round--5 CV--1 0.82383 0.56797
0 feature Round--5 CV--2 0.88100 0.72061
0 feature Round--5 CV--3 0.89817 0.78285
0 feature Round--5 CV--4 0.82734 0.56477
0 feature Round--5 CV--5 0.89525 0.77252
0 feature Round--6 CV--1 0.83467 0.57290
0 feature Round--6 CV--2 0.89574 0.75364
0 feature Round--6 CV--3 0.88880 0.74107
0 feature Round--6 CV--4 0.88693 0.75086
0 feature Round--6 CV--5 0.84377 0.61112
0 feature Round--7 CV--1 0.87307 0.73937
0 feature Round--7 CV--2 0.84420 0.57814
0 feature Round--7 CV--3 0.83019 0.54049
0 feature Round--7 CV--4 0.84113 0.57505
0 feature Round--7 CV--5 0.88355 0.72723
0 feature Round--8 CV--1 0.88489 0.76754
0 feature Round--8 CV--2 0.81308 0.54165
0 feature Round--8 CV--3 0.82307 0.54046
0 feature Round--8 CV--4 0.84901 0.59449
0 feature Round--8 CV--5 0.82151 0.54165
0 feature Round--9 CV--1 0.84208 0.58932
0 feature Round--9 CV--2 0.81614 0.44788
0 feature Round--9 CV--3 0.83327 0.58844
0 feature Round--9 CV--4 0.84669 0.58389
0 feature Round--9 CV--5 0.83229 0.57382
1 networkfeature Round--0 CV--1 0.51981 0.22240
1 networkfeature Round--0 CV--2 0.52014 0.22633
1 networkfeature Round--0 CV--3 0.48512 0.21150
1 networkfeature Round--0 CV--4 0.51466 0.22548
1 networkfeature Round--0 CV--5 0.46009 0.19302
1 networkfeature Round--1 CV--1 0.50988 0.23166
1 networkfeature Round--1 CV--2 0.48607 0.20452
1 networkfeature Round--1 CV--3 0.50879 0.20892
1 networkfeature Round--1 CV--4 0.48436 0.21224
1 networkfeature Round--1 CV--5 0.53377 0.23828
1 networkfeature Round--2 CV--1 0.50626 0.22234
1 networkfeature Round--2 CV--2 0.52885 0.24423
1 networkfeature Round--2 CV--3 0.48118 0.21296
1 networkfeature Round--2 CV--4 0.53145 0.23566
1 networkfeature Round--2 CV--5 0.49653 0.21232
1 networkfeature Round--3 CV--1 0.49741 0.21894
1 networkfeature Round--3 CV--2 0.51364 0.23386
1 networkfeature Round--3 CV--3 0.50697 0.22123
1 networkfeature Round--3 CV--4 0.50690 0.21775
1 networkfeature Round--3 CV--5 0.49699 0.21534
1 networkfeature Round--4 CV--1 0.49019 0.21141
1 networkfeature Round--4 CV--2 0.49293 0.21619
1 networkfeature Round--4 CV--3 0.50048 0.22395
1 networkfeature Round--4 CV--4 0.48533 0.21783
1 networkfeature Round--4 CV--5 0.49384 0.21768
1 networkfeature Round--5 CV--1 0.50498 0.21869
1 networkfeature Round--5 CV--2 0.49630 0.22611
1 networkfeature Round--5 CV--3 0.50655 0.22485
1 networkfeature Round--5 CV--4 0.50235 0.21826
